,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
35,"(15,15,15,0.4,0.4,T/L,wins)",15,15,15,0.4,0.4,T/L,wins,56.92307692307692,17.80821917808219,70.0,2.73972602739726,54.54545454545455,15.068493150684931,2630.1369863013697
117,"(60,60,60,1.2,1.2,W/T,wins)",60,60,60,1.2,1.2,W/T,wins,63.63636363636363,3.0136986301369864,63.63636363636363,3.0136986301369864,,0.0,1972.6027397260268
47,"(15,15,15,1.6,1.6,W/T,wins)",15,15,15,1.6,1.6,W/T,wins,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
33,"(15,15,15,0.4,0.4,W/T,earnings)",15,15,15,0.4,0.4,W/T,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
38,"(15,15,15,0.8,0.8,T/L,earnings)",15,15,15,0.8,0.8,T/L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
39,"(15,15,15,1.2,1.2,W-L,wins)",15,15,15,1.2,1.2,W-L,wins,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
41,"(15,15,15,0.4,0.4,W/L,earnings)",15,15,15,0.4,0.4,W/L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
32,"(15,15,15,0.8,0.8,T/L,wins)",15,15,15,0.8,0.8,T/L,wins,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
108,"(60,60,60,1.2,1.2,W-L,wins)",60,60,60,1.2,1.2,W-L,wins,62.5,2.191780821917808,62.5,2.191780821917808,,0.0,1315.0684931506848
42,"(15,15,15,0.8,0.8,W-L,earnings)",15,15,15,0.8,0.8,W-L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
43,"(15,15,15,0.4,0.4,T/L,earnings)",15,15,15,0.4,0.4,T/L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
44,"(15,15,15,1.2,1.2,W/L,earnings)",15,15,15,1.2,1.2,W/L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
45,"(15,15,15,0.8,0.8,W/L,earnings)",15,15,15,0.8,0.8,W/L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
51,"(15,15,15,1.2,1.2,T/L,earnings)",15,15,15,1.2,1.2,T/L,earnings,55.932203389830505,16.164383561643834,75.0,1.095890410958904,54.54545454545455,15.068493150684931,1315.0684931506848
