,summary,trace_size,height,width,alpha_plus,alpha_minus,operation_type,grid_type,accuracy,participation,acc_above,part_above,acc_below,part_below,criteria
83,"(30,30,30,1.2,1.2,W/L,earnings)",30,30,30,1.2,1.2,W/L,earnings,47.61904761904762,11.506849315068493,52.77777777777778,9.863013698630137,16.666666666666668,1.643835616438356,1315.0684931506853
119,"(60,60,60,1.2,1.2,W/T,wins)",60,60,60,1.2,1.2,W/T,wins,50.0,7.123287671232877,54.54545454545455,6.027397260273973,25.0,1.095890410958904,1315.0684931506853
95,"(30,30,30,1.2,1.2,T/L,earnings)",30,30,30,1.2,1.2,T/L,earnings,47.61904761904762,11.506849315068493,52.77777777777778,9.863013698630137,16.666666666666668,1.643835616438356,1315.0684931506853
101,"(60,60,60,1.6,1.6,W/L,earnings)",60,60,60,1.6,1.6,W/L,earnings,60.0,2.73972602739726,62.5,2.191780821917808,50.0,0.547945205479452,1315.0684931506848
124,"(60,60,60,1.6,1.6,T/L,earnings)",60,60,60,1.6,1.6,T/L,earnings,60.0,2.73972602739726,62.5,2.191780821917808,50.0,0.547945205479452,1315.0684931506848
69,"(30,30,30,0.8,0.8,W-L,wins)",30,30,30,0.8,0.8,W-L,wins,47.863247863247864,32.054794520547944,50.96153846153846,28.493150684931507,23.076923076923077,3.5616438356164384,1315.0684931506828
70,"(30,30,30,1.6,1.6,W-L,wins)",30,30,30,1.6,1.6,W-L,wins,50.0,2.73972602739726,55.55555555555556,2.4657534246575343,0.0,0.273972602739726,657.5342465753426
90,"(30,30,30,1.6,1.6,W/T,earnings)",30,30,30,1.6,1.6,W/T,earnings,50.0,3.287671232876712,54.54545454545455,3.0136986301369864,0.0,0.273972602739726,657.5342465753426
66,"(30,30,30,1.6,1.6,W-L,earnings)",30,30,30,1.6,1.6,W-L,earnings,46.15384615384615,3.5616438356164384,54.54545454545455,3.0136986301369864,0.0,0.547945205479452,657.5342465753426
96,"(60,60,60,1.6,1.6,W-L,wins)",60,60,60,1.6,1.6,W-L,wins,57.142857142857146,1.917808219178082,60.0,1.36986301369863,50.0,0.547945205479452,657.5342465753424
97,"(60,60,60,1.6,1.6,W-L,earnings)",60,60,60,1.6,1.6,W-L,earnings,50.0,2.191780821917808,60.0,1.36986301369863,33.333333333333336,0.821917808219178,657.5342465753424
44,"(15,15,15,1.6,1.6,T/L,wins)",15,15,15,1.6,1.6,T/L,wins,51.06382978723404,12.876712328767123,51.06382978723404,12.876712328767123,,0.0,657.5342465753419
58,"(15,15,15,1.6,1.6,W/L,wins)",15,15,15,1.6,1.6,W/L,wins,51.06382978723404,12.876712328767123,51.06382978723404,12.876712328767123,,0.0,657.5342465753419
86,"(30,30,30,0.8,0.8,W/L,earnings)",30,30,30,0.8,0.8,W/L,earnings,48.18181818181818,30.136986301369863,50.51546391752577,26.575342465753426,30.76923076923077,3.5616438356164384,657.5342465753401
81,"(30,30,30,0.8,0.8,T/L,earnings)",30,30,30,0.8,0.8,T/L,earnings,48.18181818181818,30.136986301369863,50.51546391752577,26.575342465753426,30.76923076923077,3.5616438356164384,657.5342465753401
